--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2026-04-07
Commit: f914b06aa67d742b65ba9cda6601f55c4a644d72

Go version: go1.26.0

CPU:
- arch: arm64
- physical cores: 4
- logical cores: 4

CPU features:
- SVE: true
- AES: true
- SHA1: true
- SHA2: true
- SHA512: true
- SHA3: true
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
go: downloading github.com/zeebo/blake3 v0.2.4
go: downloading golang.org/x/crypto v0.49.0
go: downloading lukechampine.com/blake3 v1.2.1
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkHashing/64KiB-BLAKE3_zeebo-4              	   10000	    106354 ns/op	 616.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-BLAKE3_lukechampine-4       	    9140	    130979 ns/op	 500.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-BLAKE2b-256-4               	   13918	     86325 ns/op	 759.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-BLAKE2s-256-4               	    8128	    147595 ns/op	 444.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-BLAKE2b-512-4               	   13923	     86166 ns/op	 760.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-SHA1-4                      	   37405	     32070 ns/op	2043.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-SHA-256-4                    	    2427	    494299 ns/op	2121.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-SHA-512-4                    	    1515	    790532 ns/op	1326.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-SHA3-256-4                   	     525	   2280843 ns/op	 459.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-SHA3-512-4                   	     279	   4276986 ns/op	 245.17 MB/s	       0 B/op	       0 allocs/op
