go run -ldflags "-X main.GitCommit=ee1f1ca5fc08e31a4b37e4884936873de7d7482f" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-26
Commit: ee1f1ca5fc08e31a4b37e4884936873de7d7482f

Go version: go1.21.6

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 8

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkHashing/1MiB-blake2b_256-8                	    1069	   1122213 ns/op	 934.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2s_256-8                	     800	   1501979 ns/op	 698.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3-8                       	     438	   2695311 ns/op	 389.04 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1MiB-sha1-8                       	    1484	    804739 ns/op	1303.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha2_512-8                   	     877	   1338809 ns/op	 783.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2b_512-8                	    1027	   1119497 ns/op	 936.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3_512-8                   	     235	   5048629 ns/op	 207.70 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/10MiB-sha256-8                    	     208	   5722272 ns/op	1832.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-zeebo_blake3-8              	     470	   2536325 ns/op	4134.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-lukechampine_blake3-8       	     295	   4047629 ns/op	2590.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_256-8               	     100	  11196114 ns/op	 936.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2s_256-8               	      79	  14986745 ns/op	 699.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3-8                      	      44	  27023214 ns/op	 388.03 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/10MiB-sha1-8                      	     148	   8036989 ns/op	1304.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha2_512-8                  	      88	  13348921 ns/op	 785.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_512-8               	     100	  11188543 ns/op	 937.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3_512-8                  	      22	  50449147 ns/op	 207.85 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/100MiB-sha256-8                   	      20	  57250945 ns/op	1831.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-zeebo_blake3-8             	      39	  28810885 ns/op	3639.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-lukechampine_blake3-8      	      25	  43386818 ns/op	2416.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-blake2b_256-8              	       9	 112071481 ns/op	 935.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-blake2s_256-8              	       7	 150024027 ns/op	 698.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-sha3-8                     	       4	 269351321 ns/op	 389.30 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/100MiB-sha1-8                     	      14	  80214442 ns/op	1307.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-sha2_512-8                 	       8	 133959638 ns/op	 782.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-blake2b_512-8              	       9	 112014484 ns/op	 936.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-sha3_512-8                 	       2	 504560114 ns/op	 207.82 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/1GiB-sha256-8                     	       2	 586430972 ns/op	1830.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3-8               	       4	 298364943 ns/op	3598.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3-8        	       3	 449713047 ns/op	2387.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_256-8                	       1	1146555890 ns/op	 936.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2s_256-8                	       1	1535652032 ns/op	 699.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3-8                       	       1	2758268030 ns/op	 389.28 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1GiB-sha1-8                       	       2	 824059876 ns/op	1302.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha2_512-8                   	       1	1368142161 ns/op	 784.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_512-8                	       1	1146992980 ns/op	 936.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3_512-8                   	       1	5173640748 ns/op	 207.54 MB/s	     960 B/op	       3 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/hashing	178.807s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/mac
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/mac
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkMac/64B-sha256-8         	  893640	      1156 ns/op	  55.37 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64B-zeebo_blake3_256-8         	  984795	      1099 ns/op	  58.26 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-lukechampine_blake3_256-8  	 3414648	       353.0 ns/op	 181.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-blake2b_256-8              	 2137320	       552.9 ns/op	 115.75 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/64B-blake2s_256-8              	 2985013	       393.2 ns/op	 162.77 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/64B-sha3-8                     	  246388	      4594 ns/op	  13.93 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/64B-poly1305-8                 	25233720	        44.27 ns/op	1445.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-sha2_512-8                 	  392857	      2551 ns/op	  25.09 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/64B-zeebo_blake3_512-8         	 1000000	      1103 ns/op	  58.04 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-lukechampine_blake3_512-8  	 3344488	       356.7 ns/op	 179.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-sha3_512-8                 	  295792	      3784 ns/op	  16.91 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/1KiB-sha256-8                  	  738018	      1785 ns/op	 573.69 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/1KiB-zeebo_blake3_256-8        	  486441	      2533 ns/op	 404.30 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-lukechampine_blake3_256-8 	  469825	      2171 ns/op	 471.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-blake2b_256-8             	  812834	      1686 ns/op	 607.51 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/1KiB-blake2s_256-8             	  708216	      1864 ns/op	 549.44 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/1KiB-sha3-8                    	  185132	      7344 ns/op	 139.44 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/1KiB-poly1305-8                	 3658322	       326.8 ns/op	3133.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-sha2_512-8                	  335517	      3578 ns/op	 286.17 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/1KiB-zeebo_blake3_512-8        	  457167	      2541 ns/op	 403.00 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-lukechampine_blake3_512-8 	  508869	      2185 ns/op	 468.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-sha3_512-8                	  133743	      9095 ns/op	 112.59 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/16KiB-sha256-8                 	  118507	     10037 ns/op	1632.35 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/16KiB-zeebo_blake3_256-8       	  164132	      7725 ns/op	2120.79 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/16KiB-lukechampine_blake3_256-8         	  182874	      6211 ns/op	2638.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-blake2b_256-8                     	   63973	     18088 ns/op	 905.80 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/16KiB-blake2s_256-8                     	   50296	     23955 ns/op	 683.95 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/16KiB-sha3-8                            	   25263	     46326 ns/op	 353.67 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/16KiB-poly1305-8                        	  248713	      4846 ns/op	3381.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-sha2_512-8                        	   51249	     23354 ns/op	 701.54 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/16KiB-zeebo_blake3_512-8                	  167899	      7614 ns/op	2151.77 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/16KiB-lukechampine_blake3_512-8         	  185785	      6210 ns/op	2638.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-sha3_512-8                        	   14410	     84046 ns/op	 194.94 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/64KiB-sha256-8                          	   31674	     37244 ns/op	1759.62 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64KiB-zeebo_blake3_256-8                	   45510	     25701 ns/op	2549.99 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64KiB-lukechampine_blake3_256-8         	   45560	     26088 ns/op	2512.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-blake2b_256-8                     	   17080	     70205 ns/op	 933.50 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/64KiB-blake2s_256-8                     	   12781	     94219 ns/op	 695.57 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/64KiB-sha3-8                            	    6897	    172887 ns/op	 379.07 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/64KiB-poly1305-8                        	   62487	     19317 ns/op	3392.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-sha2_512-8                        	   13947	     86016 ns/op	 761.91 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/64KiB-zeebo_blake3_512-8                	   43506	     25246 ns/op	2595.90 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64KiB-lukechampine_blake3_512-8         	   45546	     26119 ns/op	2509.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-sha3_512-8                        	    3183	    318992 ns/op	 205.45 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/1MiB-sha256-8                           	    2090	    574406 ns/op	1825.50 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/1MiB-zeebo_blake3_256-8                 	    4180	    264045 ns/op	3971.21 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1MiB-lukechampine_blake3_256-8          	    2706	    423899 ns/op	2473.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-blake2b_256-8                      	    1054	   1122190 ns/op	 934.40 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/1MiB-blake2s_256-8                      	     777	   1503766 ns/op	 697.30 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/1MiB-sha3-8                             	     441	   2695519 ns/op	 389.01 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/1MiB-poly1305-8                         	    3906	    307655 ns/op	3408.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-sha2_512-8                         	     895	   1341407 ns/op	 781.70 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/1MiB-zeebo_blake3_512-8                 	    4692	    267342 ns/op	3922.22 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1MiB-lukechampine_blake3_512-8          	    2839	    420585 ns/op	2493.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-sha3_512-8                         	     235	   5057050 ns/op	 207.35 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/10MiB-sha256-8                          	     208	   5721895 ns/op	1832.57 MB/s	     480 B/op	       5 allocs/op
