go run -ldflags "-X main.GitCommit=ee1f1ca5fc08e31a4b37e4884936873de7d7482f" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-26
Commit: ee1f1ca5fc08e31a4b37e4884936873de7d7482f

Go version: go1.21.6

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 8

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkKDF/128B-zeebo_blake3_256-8               	  972456	      1111 ns/op	 115.21 MB/s	   10880 B/op	       1 allocs/op
BenchmarkKDF/128B-lukechampine_blake3_256-8        	 1000000	      1136 ns/op	 112.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkKDF/128B-chacha20-8                       	 3207186	       408.3 ns/op	 313.52 MB/s	     160 B/op	       1 allocs/op
BenchmarkKDF/128B-hkdf_sha2_512-8                  	  228019	      5644 ns/op	  22.68 MB/s	    2129 B/op	      16 allocs/op
BenchmarkKDF/128B-zeebo_blake3_512-8               	  951615	      1185 ns/op	 108.03 MB/s	   10880 B/op	       1 allocs/op
BenchmarkKDF/128B-lukechampine_blake3_512-8        	 1000000	      1133 ns/op	 112.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkKDF/256B-hkdf_sha256-8                    	  359992	      2852 ns/op	  89.77 MB/s	    1297 B/op	      16 allocs/op
BenchmarkKDF/256B-zeebo_blake3_256-8               	  928009	      1117 ns/op	 229.21 MB/s	   10880 B/op	       1 allocs/op
BenchmarkKDF/256B-lukechampine_blake3_256-8        	  940200	      1132 ns/op	 226.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkKDF/256B-chacha20-8                       	 2679832	       409.1 ns/op	 625.70 MB/s	     160 B/op	       1 allocs/op
BenchmarkKDF/256B-hkdf_sha2_512-8                  	  217561	      5776 ns/op	  44.32 MB/s	    2129 B/op	      16 allocs/op
BenchmarkKDF/256B-zeebo_blake3_512-8               	  886962	      1212 ns/op	 211.22 MB/s	   10880 B/op	       1 allocs/op
BenchmarkKDF/256B-lukechampine_blake3_512-8        	 1000000	      1134 ns/op	 225.81 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/kdf	35.332s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/checksum
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/checksum
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkChecksum/64B-crc32-8         	78780296	        12.85 ns/op	4979.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-crc64-8         	26677107	        39.67 ns/op	1613.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-xxh3-8          	156743540	         7.669 ns/op	8345.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-xxh3_128-8      	120768374	         9.913 ns/op	6456.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-xxhash-8        	121645810	         9.915 ns/op	6454.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-crc32-8        	14949244	        75.80 ns/op	13509.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-crc64-8        	 2242454	       535.8 ns/op	1911.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-xxh3-8         	32024883	        32.87 ns/op	31148.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-xxh3_128-8     	30169371	        35.02 ns/op	29243.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-xxhash-8       	29052595	        35.02 ns/op	29242.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-crc32-8       	 1000000	      1120 ns/op	14632.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-crc64-8       	  143089	      8428 ns/op	1943.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-xxh3-8        	 4265410	       279.2 ns/op	58692.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-xxh3_128-8    	 4276832	       280.2 ns/op	58481.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-xxhash-8      	 4285344	       282.4 ns/op	58010.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-crc32-8       	  250113	      4462 ns/op	14687.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-crc64-8       	   35618	     33697 ns/op	1944.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-xxh3-8        	 1000000	      1072 ns/op	61111.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-xxh3_128-8    	 1115227	      1079 ns/op	60710.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-xxhash-8      	 1111671	      1079 ns/op	60745.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-crc32-8        	   16842	     71285 ns/op	14709.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-crc64-8        	    2206	    545038 ns/op	1923.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-xxh3-8         	   67213	     17702 ns/op	59235.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-xxh3_128-8     	   68991	     17497 ns/op	59927.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-xxhash-8       	   67633	     17449 ns/op	60093.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-crc32-8       	    1684	    710979 ns/op	14748.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-crc64-8       	     219	   5421244 ns/op	1934.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-xxh3-8        	    6872	    177003 ns/op	59240.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-xxh3_128-8    	    6734	    175865 ns/op	59623.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-xxhash-8      	    6787	    176661 ns/op	59355.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/100MiB-crc32-8      	     154	   7977136 ns/op	13144.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/100MiB-crc64-8      	      21	  54198630 ns/op	1934.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/100MiB-xxh3-8       	     268	   4451366 ns/op	23556.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/100MiB-xxh3_128-8   	     272	   4396226 ns/op	23851.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/100MiB-xxhash-8     	     270	   4428662 ns/op	23677.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-crc32-8        	      14	  77337397 ns/op	13883.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-crc64-8        	       2	 555511406 ns/op	1932.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-xxh3-8         	      25	  46364838 ns/op	23158.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-xxh3_128-8     	      24	  46318803 ns/op	23181.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-xxhash-8       	      24	  46423444 ns/op	23129.30 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/checksum	91.660s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/chunking
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/chunking
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkChunking/64B-jotfs_fastcdc-8         	   16242	     69829 ns/op	   0.92 MB/s	  524451 B/op	       3 allocs/op
BenchmarkChunking/64B-tigerwill90_fastcdc-8   	   17253	     68501 ns/op	   0.93 MB/s	  459028 B/op	       6 allocs/op
BenchmarkChunking/64B-restic_chunker-8        	    2290	    475097 ns/op	   0.13 MB/s	 8917818 B/op	       4 allocs/op
BenchmarkChunking/1KiB-jotfs_fastcdc-8        	   16350	     73954 ns/op	  13.85 MB/s	  524450 B/op	       3 allocs/op
BenchmarkChunking/1KiB-tigerwill90_fastcdc-8  	   17601	     68407 ns/op	  14.97 MB/s	  459027 B/op	       6 allocs/op
BenchmarkChunking/1KiB-restic_chunker-8       	    2476	    499339 ns/op	   2.05 MB/s	 8917819 B/op	       4 allocs/op
BenchmarkChunking/16KiB-jotfs_fastcdc-8       	   16545	     72330 ns/op	 226.52 MB/s	  524450 B/op	       3 allocs/op
BenchmarkChunking/16KiB-tigerwill90_fastcdc-8 	   16369	     70626 ns/op	 231.98 MB/s	  459026 B/op	       6 allocs/op
BenchmarkChunking/16KiB-restic_chunker-8      	    2256	    484714 ns/op	  33.80 MB/s	 8917819 B/op	       4 allocs/op
BenchmarkChunking/64KiB-jotfs_fastcdc-8       	   10000	    121926 ns/op	 537.51 MB/s	  524451 B/op	       3 allocs/op
BenchmarkChunking/64KiB-tigerwill90_fastcdc-8 	   24672	     68056 ns/op	 962.97 MB/s	  459026 B/op	       6 allocs/op
BenchmarkChunking/64KiB-restic_chunker-8      	    2288	    522104 ns/op	 125.52 MB/s	 8917818 B/op	       4 allocs/op
BenchmarkChunking/1MiB-jotfs_fastcdc-8        	    1098	    958600 ns/op	1093.86 MB/s	  524450 B/op	       3 allocs/op
BenchmarkChunking/1MiB-tigerwill90_fastcdc-8  	    1723	    644742 ns/op	1626.35 MB/s	  459266 B/op	      11 allocs/op
BenchmarkChunking/1MiB-restic_chunker-8       	     436	   2493679 ns/op	 420.49 MB/s	 8917815 B/op	       4 allocs/op
BenchmarkChunking/10MiB-jotfs_fastcdc-8       	     187	   6499857 ns/op	1613.23 MB/s	  524448 B/op	       3 allocs/op
BenchmarkChunking/10MiB-tigerwill90_fastcdc-8 	     332	   3501057 ns/op	2995.03 MB/s	  461568 B/op	      59 allocs/op
BenchmarkChunking/10MiB-restic_chunker-8      	      69	  15249453 ns/op	 687.62 MB/s	 8917809 B/op	       4 allocs/op
BenchmarkChunking/100MiB-jotfs_fastcdc-8      	      19	  59596119 ns/op	1759.47 MB/s	  524448 B/op	       3 allocs/op
BenchmarkChunking/100MiB-tigerwill90_fastcdc-8         	      32	  35932522 ns/op	2918.18 MB/s	  484608 B/op	     539 allocs/op
BenchmarkChunking/100MiB-restic_chunker-8              	       6	 168693708 ns/op	 621.59 MB/s	 8917808 B/op	       4 allocs/op
BenchmarkChunking/1GiB-jotfs_fastcdc-8                 	       2	 614367698 ns/op	1747.72 MB/s	  524448 B/op	       3 allocs/op
BenchmarkChunking/1GiB-tigerwill90_fastcdc-8           	       3	 376096599 ns/op	2854.96 MB/s	  721152 B/op	    5467 allocs/op
BenchmarkChunking/1GiB-restic_chunker-8                	       1	1824138982 ns/op	 588.63 MB/s	 8917808 B/op	       4 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/chunking	60.213s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/encryption_aead
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/encryption_aead
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkEncryptAEAD/64B-XChaCha20_BLAKE3-8         	  620478	      2107 ns/op	  30.37 MB/s	   11776 B/op	       4 allocs/op
BenchmarkEncryptAEAD/64B-XChaCha20_Poly1305-8       	 1978862	       592.4 ns/op	 108.03 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncryptAEAD/64B-ChaCha20_Poly1305-8        	 2952094	       381.6 ns/op	 167.73 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncryptAEAD/64B-AES_256_GCM-8              	 3906673	       310.6 ns/op	 206.05 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncryptAEAD/64B-AES_128_GCM-8              	 4153292	       294.2 ns/op	 217.54 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncryptAEAD/64B-BChaCha20_BLAKE3-8         	  355329	      3827 ns/op	  16.73 MB/s	   11872 B/op	       5 allocs/op
BenchmarkEncryptAEAD/64B-SChaCha20_BLAKE3-8         	  547896	      2355 ns/op	  27.18 MB/s	   11968 B/op	       6 allocs/op
BenchmarkEncryptAEAD/64B-XChaCha20_SHA256-8         	  597211	      2060 ns/op	  31.07 MB/s	    1392 B/op	      10 allocs/op
BenchmarkEncryptAEAD/1KiB-XChaCha20_BLAKE3-8        	  277286	      4302 ns/op	 238.04 MB/s	   13760 B/op	       4 allocs/op
BenchmarkEncryptAEAD/1KiB-XChaCha20_Poly1305-8      	  978321	      1289 ns/op	 794.20 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1KiB-ChaCha20_Poly1305-8       	 1000000	      1092 ns/op	 938.06 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1KiB-AES_256_GCM-8             	 1562368	       792.2 ns/op	1292.56 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1KiB-AES_128_GCM-8             	 1623068	       731.5 ns/op	1399.79 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1KiB-BChaCha20_BLAKE3-8        	  200749	      6246 ns/op	 163.93 MB/s	   13856 B/op	       5 allocs/op
BenchmarkEncryptAEAD/1KiB-SChaCha20_BLAKE3-8        	  268888	      4366 ns/op	 234.55 MB/s	   13952 B/op	       6 allocs/op
BenchmarkEncryptAEAD/1KiB-XChaCha20_SHA256-8        	  322003	      3288 ns/op	 311.45 MB/s	    3376 B/op	      10 allocs/op
BenchmarkEncryptAEAD/16KiB-XChaCha20_BLAKE3-8       	   65518	     18423 ns/op	 889.31 MB/s	   52032 B/op	       4 allocs/op
BenchmarkEncryptAEAD/16KiB-XChaCha20_Poly1305-8     	  121927	     10837 ns/op	1511.86 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncryptAEAD/16KiB-ChaCha20_Poly1305-8      	  120018	     10886 ns/op	1505.06 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncryptAEAD/16KiB-AES_256_GCM-8            	  137304	      8583 ns/op	1908.86 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncryptAEAD/16KiB-AES_128_GCM-8            	  150676	      8072 ns/op	2029.82 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncryptAEAD/16KiB-BChaCha20_BLAKE3-8       	   55622	     21213 ns/op	 772.35 MB/s	   52128 B/op	       5 allocs/op
BenchmarkEncryptAEAD/16KiB-SChaCha20_BLAKE3-8       	   65028	     18081 ns/op	 906.15 MB/s	   52224 B/op	       6 allocs/op
BenchmarkEncryptAEAD/16KiB-XChaCha20_SHA256-8       	   49868	     26434 ns/op	 619.81 MB/s	   41648 B/op	      10 allocs/op
BenchmarkEncryptAEAD/64KiB-XChaCha20_BLAKE3-8       	   18754	     63227 ns/op	1036.52 MB/s	  150337 B/op	       4 allocs/op
BenchmarkEncryptAEAD/64KiB-XChaCha20_Poly1305-8     	   30750	     37898 ns/op	1729.29 MB/s	  139264 B/op	       1 allocs/op
BenchmarkEncryptAEAD/64KiB-ChaCha20_Poly1305-8      	   31584	     38650 ns/op	1695.62 MB/s	  139264 B/op	       1 allocs/op
BenchmarkEncryptAEAD/64KiB-AES_256_GCM-8            	   39470	     30317 ns/op	2161.66 MB/s	  139264 B/op	       1 allocs/op
BenchmarkEncryptAEAD/64KiB-AES_128_GCM-8            	   44060	     28492 ns/op	2300.13 MB/s	  139264 B/op	       1 allocs/op
BenchmarkEncryptAEAD/64KiB-BChaCha20_BLAKE3-8       	   17906	     67987 ns/op	 963.95 MB/s	  150433 B/op	       5 allocs/op
BenchmarkEncryptAEAD/64KiB-SChaCha20_BLAKE3-8       	   18014	     64752 ns/op	1012.11 MB/s	  150529 B/op	       6 allocs/op
BenchmarkEncryptAEAD/64KiB-XChaCha20_SHA256-8       	   12498	     97452 ns/op	 672.50 MB/s	  139953 B/op	      10 allocs/op
BenchmarkEncryptAEAD/1MiB-XChaCha20_BLAKE3-8        	    1281	    850929 ns/op	1232.27 MB/s	 2116422 B/op	       4 allocs/op
BenchmarkEncryptAEAD/1MiB-XChaCha20_Poly1305-8      	    1518	    759845 ns/op	1379.99 MB/s	 2105354 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1MiB-ChaCha20_Poly1305-8       	    1794	    749338 ns/op	1399.34 MB/s	 2105357 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1MiB-AES_256_GCM-8             	    2270	    591955 ns/op	1771.38 MB/s	 2105359 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1MiB-AES_128_GCM-8             	    2016	    597203 ns/op	1755.81 MB/s	 2105358 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1MiB-BChaCha20_BLAKE3-8        	    1305	    842819 ns/op	1244.13 MB/s	 2116514 B/op	       5 allocs/op
BenchmarkEncryptAEAD/1MiB-SChaCha20_BLAKE3-8        	    1304	    850629 ns/op	1232.71 MB/s	 2116611 B/op	       6 allocs/op
BenchmarkEncryptAEAD/1MiB-XChaCha20_SHA256-8        	     850	   1286114 ns/op	 815.31 MB/s	 2106035 B/op	      10 allocs/op
BenchmarkEncryptAEAD/10MiB-XChaCha20_BLAKE3-8       	     153	   8114207 ns/op	1292.27 MB/s	20990784 B/op	       4 allocs/op
BenchmarkEncryptAEAD/10MiB-XChaCha20_Poly1305-8     	     237	   4988875 ns/op	2101.83 MB/s	20979718 B/op	       1 allocs/op
BenchmarkEncryptAEAD/10MiB-ChaCha20_Poly1305-8      	     228	   4959923 ns/op	2114.10 MB/s	20979719 B/op	       1 allocs/op
BenchmarkEncryptAEAD/10MiB-AES_256_GCM-8            	     274	   4140845 ns/op	2532.28 MB/s	20979721 B/op	       1 allocs/op
BenchmarkEncryptAEAD/10MiB-AES_128_GCM-8            	     313	   3744039 ns/op	2800.65 MB/s	20979726 B/op	       1 allocs/op
BenchmarkEncryptAEAD/10MiB-BChaCha20_BLAKE3-8       	     146	   7934708 ns/op	1321.51 MB/s	20990880 B/op	       5 allocs/op
BenchmarkEncryptAEAD/10MiB-SChaCha20_BLAKE3-8       	     148	   8065913 ns/op	1300.01 MB/s	20990976 B/op	       6 allocs/op
BenchmarkEncryptAEAD/10MiB-XChaCha20_SHA256-8       	     100	  11026082 ns/op	 951.00 MB/s	20980400 B/op	      10 allocs/op
BenchmarkEncryptAEAD/100MiB-XChaCha20_BLAKE3-8      	      16	  84167712 ns/op	1245.82 MB/s	209734464 B/op	       4 allocs/op
BenchmarkEncryptAEAD/100MiB-XChaCha20_Poly1305-8    	      27	  54374447 ns/op	1928.44 MB/s	209723392 B/op	       1 allocs/op
BenchmarkEncryptAEAD/100MiB-ChaCha20_Poly1305-8     	      20	  55989332 ns/op	1872.81 MB/s	209723396 B/op	       1 allocs/op
BenchmarkEncryptAEAD/100MiB-AES_256_GCM-8           	      36	  42911956 ns/op	2443.55 MB/s	209723394 B/op	       1 allocs/op
BenchmarkEncryptAEAD/100MiB-AES_128_GCM-8           	      37	  43585334 ns/op	2405.80 MB/s	209723397 B/op	       1 allocs/op
BenchmarkEncryptAEAD/100MiB-BChaCha20_BLAKE3-8      	      15	  78794308 ns/op	1330.78 MB/s	209734560 B/op	       5 allocs/op
BenchmarkEncryptAEAD/100MiB-SChaCha20_BLAKE3-8      	      12	  89841178 ns/op	1167.14 MB/s	209734656 B/op	       6 allocs/op
BenchmarkEncryptAEAD/100MiB-XChaCha20_SHA256-8      	      12	 116366576 ns/op	 901.10 MB/s	209724080 B/op	      10 allocs/op
BenchmarkEncryptAEAD/1GiB-XChaCha20_BLAKE3-8        	       1	1402169202 ns/op	 765.77 MB/s	2147502912 B/op	       4 allocs/op
BenchmarkEncryptAEAD/1GiB-XChaCha20_Poly1305-8      	       2	1023634639 ns/op	1048.95 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1GiB-ChaCha20_Poly1305-8       	       2	 988629119 ns/op	1086.09 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1GiB-AES_256_GCM-8             	       2	 879961658 ns/op	1220.21 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1GiB-AES_128_GCM-8             	       2	 850260458 ns/op	1262.84 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkEncryptAEAD/1GiB-BChaCha20_BLAKE3-8        	       1	1262378146 ns/op	 850.57 MB/s	2147503008 B/op	       5 allocs/op
BenchmarkEncryptAEAD/1GiB-SChaCha20_BLAKE3-8        	       1	1246670726 ns/op	 861.29 MB/s	2147503104 B/op	       6 allocs/op
BenchmarkEncryptAEAD/1GiB-XChaCha20_SHA256-8        	       1	1525475438 ns/op	 703.87 MB/s	2147492528 B/op	      10 allocs/op
BenchmarkDecryptAEAD/64B-XChaCha20_BLAKE3-8         	  342225	      3168 ns/op	  20.20 MB/s	   12480 B/op	       4 allocs/op
BenchmarkDecryptAEAD/64B-XChaCha20_Poly1305-8       	 1121415	      1104 ns/op	  57.98 MB/s	    1408 B/op	       1 allocs/op
BenchmarkDecryptAEAD/64B-ChaCha20_Poly1305-8        	 1360722	       887.1 ns/op	  72.14 MB/s	    1408 B/op	       1 allocs/op
BenchmarkDecryptAEAD/64B-AES_256_GCM-8              	 2238543	       533.3 ns/op	 120.01 MB/s	    1408 B/op	       1 allocs/op
BenchmarkDecryptAEAD/64B-AES_128_GCM-8              	 2538620	       510.8 ns/op	 125.30 MB/s	    1408 B/op	       1 allocs/op
BenchmarkDecryptAEAD/64B-BChaCha20_BLAKE3-8         	  238832	      4907 ns/op	  13.04 MB/s	   12576 B/op	       5 allocs/op
BenchmarkDecryptAEAD/64B-SChaCha20_BLAKE3-8         	  319646	      3447 ns/op	  18.57 MB/s	   12672 B/op	       6 allocs/op
BenchmarkDecryptAEAD/64B-XChaCha20_SHA256-8         	  468416	      2659 ns/op	  24.07 MB/s	    2128 B/op	      11 allocs/op
BenchmarkDecryptAEAD/1KiB-XChaCha20_BLAKE3-8        	  206493	      5257 ns/op	 194.81 MB/s	   16448 B/op	       4 allocs/op
BenchmarkDecryptAEAD/1KiB-XChaCha20_Poly1305-8      	  544092	      2424 ns/op	 422.48 MB/s	    5376 B/op	       1 allocs/op
BenchmarkDecryptAEAD/1KiB-ChaCha20_Poly1305-8       	  532725	      2213 ns/op	 462.73 MB/s	    5376 B/op	       1 allocs/op
BenchmarkDecryptAEAD/1KiB-AES_256_GCM-8             	  643128	      1572 ns/op	 651.50 MB/s	    5376 B/op	       1 allocs/op
BenchmarkDecryptAEAD/1KiB-AES_128_GCM-8             	  777375	      1482 ns/op	 690.85 MB/s	    5376 B/op	       1 allocs/op
BenchmarkDecryptAEAD/1KiB-BChaCha20_BLAKE3-8        	  166113	      7324 ns/op	 139.81 MB/s	   16544 B/op	       5 allocs/op
BenchmarkDecryptAEAD/1KiB-SChaCha20_BLAKE3-8        	  194006	      5372 ns/op	 190.63 MB/s	   16640 B/op	       6 allocs/op
BenchmarkDecryptAEAD/1KiB-XChaCha20_SHA256-8        	  263281	      4864 ns/op	 210.51 MB/s	    6096 B/op	      11 allocs/op
BenchmarkDecryptAEAD/16KiB-XChaCha20_BLAKE3-8       	   52998	     22579 ns/op	 725.64 MB/s	   84800 B/op	       4 allocs/op
BenchmarkDecryptAEAD/16KiB-XChaCha20_Poly1305-8     	   51811	     23151 ns/op	 707.70 MB/s	   73728 B/op	       1 allocs/op
BenchmarkDecryptAEAD/16KiB-ChaCha20_Poly1305-8      	   51813	     23161 ns/op	 707.40 MB/s	   73728 B/op	       1 allocs/op
BenchmarkDecryptAEAD/16KiB-AES_256_GCM-8            	   63226	     19136 ns/op	 856.20 MB/s	   73728 B/op	       1 allocs/op
BenchmarkDecryptAEAD/16KiB-AES_128_GCM-8            	   64768	     17796 ns/op	 920.67 MB/s	   73728 B/op	       1 allocs/op
BenchmarkDecryptAEAD/16KiB-BChaCha20_BLAKE3-8       	   49351	     24677 ns/op	 663.93 MB/s	   84896 B/op	       5 allocs/op
BenchmarkDecryptAEAD/16KiB-SChaCha20_BLAKE3-8       	   51655	     23266 ns/op	 704.22 MB/s	   84992 B/op	       6 allocs/op
BenchmarkDecryptAEAD/16KiB-XChaCha20_SHA256-8       	   31825	     36539 ns/op	 448.40 MB/s	   74448 B/op	      11 allocs/op
BenchmarkDecryptAEAD/64KiB-XChaCha20_BLAKE3-8       	   14391	     83479 ns/op	 785.06 MB/s	  281410 B/op	       4 allocs/op
BenchmarkDecryptAEAD/64KiB-XChaCha20_Poly1305-8     	   13089	     91549 ns/op	 715.86 MB/s	  270338 B/op	       1 allocs/op
BenchmarkDecryptAEAD/64KiB-ChaCha20_Poly1305-8      	   13411	     91140 ns/op	 719.07 MB/s	  270337 B/op	       1 allocs/op
BenchmarkDecryptAEAD/64KiB-AES_256_GCM-8            	   16125	     71322 ns/op	 918.88 MB/s	  270337 B/op	       1 allocs/op
BenchmarkDecryptAEAD/64KiB-AES_128_GCM-8            	   16495	     73083 ns/op	 896.73 MB/s	  270337 B/op	       1 allocs/op
BenchmarkDecryptAEAD/64KiB-BChaCha20_BLAKE3-8       	   13780	     87012 ns/op	 753.18 MB/s	  281506 B/op	       5 allocs/op
BenchmarkDecryptAEAD/64KiB-SChaCha20_BLAKE3-8       	   13495	     86037 ns/op	 761.72 MB/s	  281602 B/op	       6 allocs/op
BenchmarkDecryptAEAD/64KiB-XChaCha20_SHA256-8       	    8846	    133661 ns/op	 490.32 MB/s	  271058 B/op	      11 allocs/op
BenchmarkDecryptAEAD/1MiB-XChaCha20_BLAKE3-8        	     924	   1224339 ns/op	 856.44 MB/s	 4213583 B/op	       4 allocs/op
BenchmarkDecryptAEAD/1MiB-XChaCha20_Poly1305-8      	     726	   1568068 ns/op	 668.71 MB/s	 4202509 B/op	       1 allocs/op
BenchmarkDecryptAEAD/1MiB-ChaCha20_Poly1305-8       	     830	   1456384 ns/op	 719.99 MB/s	 4202506 B/op	       1 allocs/op
BenchmarkDecryptAEAD/1MiB-AES_256_GCM-8             	    1021	   1227154 ns/op	 854.48 MB/s	 4202513 B/op	       1 allocs/op
BenchmarkDecryptAEAD/1MiB-AES_128_GCM-8             	    1258	   1178588 ns/op	 889.69 MB/s	 4202514 B/op	       1 allocs/op
BenchmarkDecryptAEAD/1MiB-BChaCha20_BLAKE3-8        	     902	   1307495 ns/op	 801.97 MB/s	 4213674 B/op	       5 allocs/op
BenchmarkDecryptAEAD/1MiB-SChaCha20_BLAKE3-8        	     950	   1210646 ns/op	 866.13 MB/s	 4213774 B/op	       6 allocs/op
BenchmarkDecryptAEAD/1MiB-XChaCha20_SHA256-8        	     535	   2164119 ns/op	 484.53 MB/s	 4203222 B/op	      11 allocs/op
BenchmarkDecryptAEAD/10MiB-XChaCha20_BLAKE3-8       	     120	   9801006 ns/op	1069.87 MB/s	41962324 B/op	       4 allocs/op
BenchmarkDecryptAEAD/10MiB-XChaCha20_Poly1305-8     	     108	  10992786 ns/op	 953.88 MB/s	41951247 B/op	       1 allocs/op
BenchmarkDecryptAEAD/10MiB-ChaCha20_Poly1305-8      	     100	  11445452 ns/op	 916.15 MB/s	41951243 B/op	       1 allocs/op
BenchmarkDecryptAEAD/10MiB-AES_256_GCM-8            	     132	   9331712 ns/op	1123.67 MB/s	41951242 B/op	       1 allocs/op
