go run -ldflags "-X main.GitCommit=d526003d6ed94180d6b574c34b9e453b7d2d645c" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-20
Commit: d526003d6ed94180d6b574c34b9e453b7d2d645c

Go version: go1.21.6

CPU:
- arch: amd64
- physical cores: 16
- logical cores: 16

CPU features:
- AVX: true
- AVX2: true
- AVX512: true
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 9R14
BenchmarkHashing/64KiB-sha2_512-16                        	   14403	     83313 ns/op	 786.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-zeebo_blake3_512-16                	   74769	     16048 ns/op	4083.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-lukechampine_blake3_512-16         	   66228	     18117 ns/op	3617.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-blake2b_512-16                     	   17608	     68150 ns/op	 961.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-sha3_512-16                        	    4814	    249506 ns/op	 262.66 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/1MiB-sha256-16                           	    2088	    574287 ns/op	1825.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-zeebo_blake3_256-16                 	    4824	    247951 ns/op	4228.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-lukechampine_blake3_256-16          	    4116	    291201 ns/op	3600.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2b_256-16                      	    1096	   1092080 ns/op	 960.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2s_256-16                      	     747	   1603326 ns/op	 654.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3-16                             	     564	   2122586 ns/op	 494.01 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1MiB-sha1-16                             	    1491	    803919 ns/op	1304.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha2_512-16                         	     901	   1330732 ns/op	 787.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-zeebo_blake3_512-16                 	    4806	    249294 ns/op	4206.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-lukechampine_blake3_512-16          	    4122	    291262 ns/op	3600.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2b_512-16                      	    1098	   1091740 ns/op	 960.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3_512-16                         	     301	   3974029 ns/op	 263.86 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/10MiB-sha256-16                          	     208	   5742351 ns/op	1826.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-zeebo_blake3_256-16                	     477	   2507395 ns/op	4181.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-lukechampine_blake3_256-16         	     408	   2933465 ns/op	3574.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_256-16                     	     100	  10913294 ns/op	 960.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2s_256-16                     	      74	  16038184 ns/op	 653.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3-16                            	      56	  21246208 ns/op	 493.54 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/10MiB-sha1-16                            	     148	   8035119 ns/op	1304.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha2_512-16                        	      90	  13309478 ns/op	 787.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-zeebo_blake3_512-16                	     477	   2503827 ns/op	4187.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-lukechampine_blake3_512-16         	     408	   2933104 ns/op	3574.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_512-16                     	     100	  10914546 ns/op	 960.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3_512-16                        	      30	  39706230 ns/op	 264.08 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/100MiB-sha256-16                         	      20	  57466507 ns/op	1824.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-zeebo_blake3_256-16               	      42	  28924472 ns/op	3625.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-lukechampine_blake3_256-16        	      37	  31541790 ns/op	3324.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-blake2b_256-16                    	      10	 109181971 ns/op	 960.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-blake2s_256-16                    	       7	 160454073 ns/op	 653.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-sha3-16                           	       5	 212301056 ns/op	 493.91 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/100MiB-sha1-16                           	      14	  80387797 ns/op	1304.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-sha2_512-16                       	       8	 133150215 ns/op	 787.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-zeebo_blake3_512-16               	      42	  29133050 ns/op	3599.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-lukechampine_blake3_512-16        	      37	  31468975 ns/op	3332.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-blake2b_512-16                    	      10	 109205426 ns/op	 960.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-sha3_512-16                       	       3	 396474478 ns/op	 264.48 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/1GiB-sha256-16                           	       2	 588181937 ns/op	1825.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3_256-16                 	       4	 300175711 ns/op	3577.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3_256-16          	       4	 322730482 ns/op	3327.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_256-16                      	       1	1118021326 ns/op	 960.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2s_256-16                      	       1	1642463688 ns/op	 653.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3-16                             	       1	2174578148 ns/op	 493.77 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1GiB-sha1-16                             	       2	 823158368 ns/op	1304.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha2_512-16                         	       1	1363680976 ns/op	 787.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3_512-16                 	       4	 300098457 ns/op	3577.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3_512-16          	       4	 322760630 ns/op	3326.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_512-16                      	       1	1117952176 ns/op	 960.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3_512-16                         	       1	4059385879 ns/op	 264.51 MB/s	     960 B/op	       3 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/hashing	195.923s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/mac
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/mac
cpu: AMD EPYC 9R14
BenchmarkMac/64B-sha256-16         	 2478048	       485.2 ns/op	 131.90 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64B-zeebo_blake3_256-16         	  809924	      1269 ns/op	  50.45 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-lukechampine_blake3_256-16  	 3747019	       320.5 ns/op	 199.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-blake2b_256-16              	 3294856	       365.3 ns/op	 175.20 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/64B-blake2s_256-16              	 3793599	       316.4 ns/op	 202.30 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/64B-sha3-16                     	  527679	      2181 ns/op	  29.35 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/64B-poly1305-16                 	40259284	        29.77 ns/op	2149.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-sha2_512-16                 	 1000000	      1079 ns/op	  59.30 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/64B-zeebo_blake3_512-16         	  825729	      1305 ns/op	  49.06 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-lukechampine_blake3_512-16  	 3731186	       321.8 ns/op	 198.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-sha3_512-16                 	  593636	      2000 ns/op	  32.01 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/1KiB-sha256-16                  	 1000000	      1015 ns/op	1008.93 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/1KiB-zeebo_blake3_256-16        	  548774	      2184 ns/op	 468.76 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-lukechampine_blake3_256-16 	  629779	      1910 ns/op	 536.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-blake2b_256-16             	  849026	      1297 ns/op	 789.27 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/1KiB-blake2s_256-16             	  666698	      1841 ns/op	 556.24 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/1KiB-sha3-16                    	  271234	      4392 ns/op	 233.13 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/1KiB-poly1305-16                	 4360256	       274.8 ns/op	3726.08 MB/s	       0 B/op	       0 allocs/op
