go run -ldflags "-X main.GitCommit=d526003d6ed94180d6b574c34b9e453b7d2d645c" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-20
Commit: d526003d6ed94180d6b574c34b9e453b7d2d645c

Go version: go1.21.6

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 16

CPU features:
- AVX: true
- AVX2: true
- AVX512: true
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: Intel(R) Xeon(R) Platinum 8488C
BenchmarkHashing/64KiB-sha2_512-16                        	   10000	    104226 ns/op	 628.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-zeebo_blake3_512-16                	   61327	     19637 ns/op	3337.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-lukechampine_blake3_512-16         	   72489	     17000 ns/op	3855.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-blake2b_512-16                     	   16616	     70697 ns/op	 927.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-sha3_512-16                        	    4138	    286069 ns/op	 229.09 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/1MiB-sha256-16                           	    1899	    633212 ns/op	1655.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-zeebo_blake3_256-16                 	    3874	    303602 ns/op	3453.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-lukechampine_blake3_256-16          	    4478	    267731 ns/op	3916.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2b_256-16                      	    1078	   1141404 ns/op	 918.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2s_256-16                      	     728	   1622720 ns/op	 646.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3-16                             	     487	   2417557 ns/op	 433.73 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1MiB-sha1-16                             	    1107	   1104179 ns/op	 949.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha2_512-16                         	     738	   1673775 ns/op	 626.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-zeebo_blake3_512-16                 	    3886	    303227 ns/op	3458.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-lukechampine_blake3_512-16          	    4345	    272393 ns/op	3849.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2b_512-16                      	    1051	   1144917 ns/op	 915.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3_512-16                         	     250	   4634529 ns/op	 226.25 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/10MiB-sha256-16                          	     193	   6235870 ns/op	1681.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-zeebo_blake3_256-16                	     391	   3140718 ns/op	3338.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-lukechampine_blake3_256-16         	     409	   2945711 ns/op	3559.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_256-16                     	     100	  11517004 ns/op	 910.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2s_256-16                     	      72	  16562849 ns/op	 633.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3-16                            	      46	  25691960 ns/op	 408.13 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/10MiB-sha1-16                            	     100	  11156821 ns/op	 939.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha2_512-16                        	      70	  16431423 ns/op	 638.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-zeebo_blake3_512-16                	     386	   3132065 ns/op	3347.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-lukechampine_blake3_512-16         	     410	   2926948 ns/op	3582.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_512-16                     	     100	  11484864 ns/op	 913.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3_512-16                        	      25	  47310776 ns/op	 221.64 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/100MiB-sha256-16                         	      18	  63703299 ns/op	1646.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-zeebo_blake3_256-16               	      32	  36800948 ns/op	2849.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-lukechampine_blake3_256-16        	      32	  35651673 ns/op	2941.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-blake2b_256-16                    	       9	 115415813 ns/op	 908.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-blake2s_256-16                    	       7	 164847427 ns/op	 636.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-sha3-16                           	       5	 248194360 ns/op	 422.48 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/100MiB-sha1-16                           	      10	 109984578 ns/op	 953.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-sha2_512-16                       	       7	 165276644 ns/op	 634.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-zeebo_blake3_512-16               	      32	  36792287 ns/op	2849.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-lukechampine_blake3_512-16        	      33	  34990776 ns/op	2996.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-blake2b_512-16                    	       9	 112250760 ns/op	 934.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-sha3_512-16                       	       3	 468463422 ns/op	 223.83 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/1GiB-sha256-16                           	       2	 642720474 ns/op	1670.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3_256-16                 	       3	 370670717 ns/op	2896.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3_256-16          	       3	 358116746 ns/op	2998.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_256-16                      	       1	1129538764 ns/op	 950.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2s_256-16                      	       1	1582412605 ns/op	 678.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3-16                             	       1	2429837918 ns/op	 441.90 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1GiB-sha1-16                             	       1	1054349407 ns/op	1018.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha2_512-16                         	       1	1597214992 ns/op	 672.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3_512-16                 	       3	 372886858 ns/op	2879.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3_512-16          	       3	 346442973 ns/op	3099.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_512-16                      	       1	1095325316 ns/op	 980.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3_512-16                         	       1	4561818701 ns/op	 235.38 MB/s	     960 B/op	       3 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/hashing	192.333s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/mac
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/mac
cpu: Intel(R) Xeon(R) Platinum 8488C
BenchmarkMac/64B-sha256-16         	 2620242	       455.4 ns/op	 140.53 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64B-zeebo_blake3_256-16         	  615430	      1887 ns/op	  33.92 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-lukechampine_blake3_256-16  	 4721178	       250.5 ns/op	 255.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-blake2b_256-16              	 3425126	       352.6 ns/op	 181.51 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/64B-blake2s_256-16              	 4551678	       265.2 ns/op	 241.31 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/64B-sha3-16                     	  556904	      2096 ns/op	  30.54 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/64B-poly1305-16                 	44350215	        26.99 ns/op	2371.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-sha2_512-16                 	  922273	      1166 ns/op	  54.90 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/64B-zeebo_blake3_512-16         	  605661	      1915 ns/op	  33.41 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-lukechampine_blake3_512-16  	 4724038	       251.4 ns/op	 254.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-sha3_512-16                 	  602650	      1920 ns/op	  33.34 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/1KiB-sha256-16                  	 1000000	      1022 ns/op	1002.26 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/1KiB-zeebo_blake3_256-16        	  431949	      2779 ns/op	 368.48 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-lukechampine_blake3_256-16 	  653548	      1859 ns/op	 550.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-blake2b_256-16             	  847906	      1287 ns/op	 795.68 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/1KiB-blake2s_256-16             	  688303	      1691 ns/op	 605.49 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/1KiB-sha3-16                    	  277280	      4246 ns/op	 241.17 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/1KiB-poly1305-16                	 3920052	       305.9 ns/op	3347.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-sha2_512-16                	  425396	      2714 ns/op	 377.34 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/1KiB-zeebo_blake3_512-16        	  409254	      2824 ns/op	 362.66 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-lukechampine_blake3_512-16 	  660218	      1837 ns/op	 557.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-sha3_512-16                	  193682	      6205 ns/op	 165.02 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/16KiB-sha256-16                 	  118885	      9922 ns/op	1651.32 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/16KiB-zeebo_blake3_256-16       	  181975	      6567 ns/op	2495.07 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/16KiB-lukechampine_blake3_256-16         	  310038	      3877 ns/op	4225.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-blake2b_256-16                     	   68805	     17186 ns/op	 953.33 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/16KiB-blake2s_256-16                     	   48876	     24522 ns/op	 668.13 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/16KiB-sha3-16                            	   30658	     39318 ns/op	 416.71 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/16KiB-poly1305-16                        	  244260	      4901 ns/op	3342.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-sha2_512-16                        	   46348	     25694 ns/op	 637.66 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/16KiB-zeebo_blake3_512-16                	  186412	      6471 ns/op	2531.93 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/16KiB-lukechampine_blake3_512-16         	  314281	      3867 ns/op	4236.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-sha3_512-16                        	   16706	     71405 ns/op	 229.45 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/64KiB-sha256-16                          	   30886	     39582 ns/op	1655.69 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64KiB-zeebo_blake3_256-16                	   59306	     20835 ns/op	3145.41 MB/s	   10880 B/op	       1 allocs/op
