--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2023-08-09

Go version: go1.21.0

CPU:
- arch: arm64
- physical cores: 8
- logical cores: 8

CPU features:
- SVE: false
- AES: true
- SHA1: true
- SHA2: true
- SHA512: false
- SHA3: false
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkHashing/64KiB-lukechampine_blake3_256-8       	    6162	    197605 ns/op	 331.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-zeebo_blake3_256-8              	    7447	    161838 ns/op	 404.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-sha2_512-8                      	    4702	    253283 ns/op	 258.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-blake2b_512-8                   	    9411	    127153 ns/op	 515.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-sha3_512-8                      	    2767	    427620 ns/op	 153.26 MB/s	    1024 B/op	       4 allocs/op
BenchmarkHashing/64KiB-lukechampine_blake3_512-8       	    6166	    194282 ns/op	 337.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-zeebo_blake3_512-8              	    7485	    160573 ns/op	 408.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha1-8                           	    2030	    599201 ns/op	1749.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha256-8                         	    2112	    568250 ns/op	1845.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha256_simd-8                    	    2124	    565735 ns/op	1853.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2b_256-8                    	     584	   2048905 ns/op	 511.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2s_256-8                    	     336	   3552614 ns/op	 295.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3-8                           	     318	   3758390 ns/op	 279.00 MB/s	     960 B/op	       4 allocs/op
BenchmarkHashing/1MiB-lukechampine_blake3_256-8        	     378	   3169856 ns/op	 330.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-zeebo_blake3_256-8               	     468	   2574759 ns/op	 407.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha2_512-8                       	     294	   4049664 ns/op	 258.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2b_512-8                    	     567	   2062195 ns/op	 508.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3_512-8                       	     175	   6860090 ns/op	 152.85 MB/s	    1024 B/op	       4 allocs/op
BenchmarkHashing/1MiB-lukechampine_blake3_512-8        	     376	   3171085 ns/op	 330.67 MB/s	       0 B/op	       0 allocs/op
